pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-150,z,69,69,20,z,1,0.3991006000433117,None,,,,,20,69,69,3,498.1397494999692,,498.1249510999769,498.1397494999692,499.12359029985964,499.12359029985964,499.12359029985964,499.12359029985964,499.140489900019,499.62338769994676,499.62338769994676,500.0254420998972,,,,,z,1,0.3991006000433117,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
150,v,70,70,22,v,1,0.5765724999364465,None,,,,,22,70,70,1,500.04000489995815,,500.02591209998354,500.04000489995815,501.0405601998791,501.0405601998791,501.0405601998791,501.0405601998791,501.0405601998791,501.53902759985067,501.53902759985067,502.12364979996346,,,,,v,1,0.5765724999364465,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-150,z,71,71,21,z,1,0.3453944001812488,None,,,,,21,71,71,3,502.14013349986635,,502.1240956999827,502.14013349986635,503.123549599899,503.123549599899,503.123549599899,503.123549599899,503.14005069993436,503.6223808999639,503.6223808999639,503.9738775999285,,,,,z,1,0.3453944001812488,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-150,z,72,72,22,z,1,0.3673112001270056,None,,,,,22,72,72,3,503.98987799999304,,503.9744449998252,503.98987799999304,504.9733239999041,504.9733239999041,504.9733239999041,504.9733239999041,504.98978789988905,505.4726703998167,505.4726703998167,505.85574749996886,,,,,z,1,0.3673112001270056,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-150,z,73,73,23,z,1,0.30016879993490875,None,,,,,23,73,73,3,505.87266789982095,,505.8561783998739,505.87266789982095,506.8558282998856,506.8558282998856,506.8558282998856,506.8558282998856,506.87352559994906,507.3562244998757,507.3562244998757,507.6573993000202,,,,,z,1,0.30016879993490875,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-150,z,74,74,24,z,1,0.29987019998952746,None,,,,,24,74,74,3,507.6726815998554,,507.6579120999668,507.6726815998554,508.6731206998229,508.6731206998229,508.6731206998229,508.6731206998229,508.6731206998229,509.173311999999,509.173311999999,509.4741471998859,,,,,z,1,0.29987019998952746,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-50,x,75,75,17,x,1,0.43483599997125566,None,,,,,17,75,75,0,509.4901998999994,,509.47475850000046,509.4901998999994,510.4891027000267,510.4891027000267,510.4891027000267,510.4891027000267,510.4891027000267,510.9890705998987,510.9890705998987,511.43999599991366,,,,,x,1,0.43483599997125566,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
50,c,76,76,10,v,0,0.37361379992216825,None,,,,,10,76,76,2,511.4555005999282,,511.44047080003656,511.4555005999282,512.4389664998744,512.4389664998744,512.4389664998744,512.4389664998744,512.4564845999703,512.9400011999533,512.9400011999533,513.3236926998943,,,,,v,0,0.37361379992216825,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
50,c,77,77,11,c,1,0.5316005998756737,None,,,,,11,77,77,2,513.3392735000234,,513.3241677999031,513.3392735000234,514.3385487999767,514.3385487999767,514.3385487999767,514.3385487999767,514.3385487999767,514.8236567999702,514.8236567999702,515.3569864998572,,,,,c,1,0.5316005998756737,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-50,x,78,78,18,x,1,0.38220760016702116,None,,,,,18,78,78,0,515.3729188998695,,515.3575072998647,515.3729188998695,516.3720040998887,516.3720040998887,516.3720040998887,516.3720040998887,516.3720040998887,516.8569674999453,516.8569674999453,517.2402092998382,,,,,x,1,0.38220760016702116,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
